,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,879.03B,0.34%,4269084,439.34B
1,V,Visa Inc.,588.31B,-1.18%,5096646,33.35B
2,JPM,JPMorgan Chase & Co.,548.13B,1.24%,9309517,158.10B
3,MA,Mastercard Incorporated,443.90B,-0.76%,2172459,25.10B
4,BAC,Bank of America Corporation,279.41B,-0.78%,39801161,98.58B
5,WFC,Wells Fargo & Company,205.24B,0.24%,19552736,82.60B
6,AXP,American Express Company,159.59B,-0.91%,2891678,55.59B
7,BX,Blackstone Inc.,150.17B,0.14%,22331929,8.02B
8,HSBC,HSBC Holdings plc,146.20B,1.81%,2118397,66.06B
9,MS,Morgan Stanley,145.70B,-0.81%,20215380,54.14B
10,RY,Royal Bank of Canada,141.72B,-0.42%,578237,40.69B
11,HDB,HDFC Bank Limited,139.65B,-0.32%,1918195,13.76B
12,SPGI,S&P Global Inc.,132.56B,-0.16%,1182102,12.50B
13,GS,"The Goldman Sachs Group, Inc.",126.06B,-0.36%,1790770,46.25B
14,SCHW,The Charles Schwab Corporation,121.50B,0.66%,7828157,18.84B
15,BLK,"BlackRock, Inc.",120.46B,-0.78%,1560335,17.86B
16,PGR,The Progressive Corporation,119.99B,1.49%,4072957,62.11B
17,MUFG,"Mitsubishi UFJ Financial Group, Inc.",119.87B,-0.88%,2952763,30.79B
18,C,Citigroup Inc.,109.12B,0.91%,17408191,78.46B
19,TD,The Toronto-Dominion Bank,106.27B,0.02%,1709138,36.86B
20,CB,Chubb Limited,104.54B,-0.52%,1574320,49.74B
21,UBS,UBS Group AG,103.59B,1.98%,3562307,37.16B
22,MMC,"Marsh & McLennan Companies, Inc.",101.73B,-0.67%,1533745,22.74B
23,IBN,ICICI Bank Limited,91.76B,-0.08%,3756313,22.65B
24,KKR,KKR & Co. Inc.,86.29B,-0.14%,1490800,14.50B
25,CME,CME Group Inc.,78.30B,-0.87%,3968299,5.58B
26,ICE,"Intercontinental Exchange, Inc.",77.25B,-0.60%,3188156,9.90B
27,SMFG,"Sumitomo Mitsui Financial Group, Inc.",76.58B,-0.69%,1956928,28.63B
28,SAN,"Banco Santander, S.A.",70.74B,0.91%,2437920,62.72B
29,MCO,Moody's Corporation,70.00B,0.20%,667458,5.92B
30,BMO,Bank of Montreal,68.11B,0.09%,432526,24.15B
31,ITUB,Itaú Unibanco Holding S.A.,67.65B,-1.01%,9165255,21.85B
32,PYPL,"PayPal Holdings, Inc.",67.23B,-0.24%,19853707,29.77B
