,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,722.82B,-0.86%,2342824,34.12B
1,NVO,Novo Nordisk A/S,598.36B,-1.64%,3631961,34.41B
2,UNH,UnitedHealth Group Incorporated,450.83B,0.37%,3481999,371.62B
3,JNJ,Johnson & Johnson,383.66B,-0.65%,7323629,85.16B
4,ABBV,AbbVie Inc.,317.35B,-1.83%,6196064,54.32B
5,MRK,"Merck & Co., Inc.",305.21B,0.84%,12718652,60.12B
6,TMO,Thermo Fisher Scientific Inc.,223.03B,-0.13%,1910581,42.86B
7,AZN,AstraZeneca PLC,205.46B,-1.09%,6027068,45.81B
8,ABT,Abbott Laboratories,200.40B,-2.83%,12685176,40.11B
9,NVS,Novartis AG,199.74B,-0.88%,1381503,46.66B
10,DHR,Danaher Corporation,187.31B,-1.51%,5703208,23.89B
11,PFE,Pfizer Inc.,157.91B,-0.68%,31375069,58.50B
12,AMGN,Amgen Inc.,145.52B,-0.98%,8761928,28.19B
13,ISRG,"Intuitive Surgical, Inc.",136.22B,3.11%,3889390,7.12B
14,SYK,Stryker Corporation,135.24B,-0.96%,2054130,20.50B
15,SNY,Sanofi,120.87B,0.42%,1265364,51.60B
16,ELV,Elevance Health Inc.,118.47B,0.49%,827890,171.34B
17,MDT,Medtronic plc,112.05B,-0.97%,8518723,32.32B
18,BMY,Bristol-Myers Squibb Company,105.84B,-0.29%,19286574,45.01B
19,VRTX,Vertex Pharmaceuticals Incorporated,105.59B,-0.26%,1894452,9.87B
20,REGN,"Regeneron Pharmaceuticals, Inc.",104.79B,0.57%,1071151,13.12B
21,CI,Cigna Corporation,102.18B,0.73%,1280054,195.27B
22,BSX,Boston Scientific Corporation,98.09B,-0.94%,5942570,14.24B
23,CVS,CVS Health Corporation,96.17B,1.28%,8037424,357.78B
24,GILD,"Gilead Sciences, Inc.",92.45B,-0.70%,13896205,27.12B
25,GSK,GSK plc,86.12B,-2.07%,3751683,38.39B
