,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,MSFT,Microsoft Corporation,"3,159.57B",-2.07%,43714326,227.58B
1,AAPL,Apple Inc,"2,671.45B",-0.22%,119623910,385.71B
2,NVDA,NVIDIA Corporation,"2,195.91B",-0.12%,63128914,60.92B
3,TSM,Taiwan Semiconductor Manufacturing Company Limited,713.14B,-1.89%,17187284,70.35B
4,AVGO,Broadcom Inc.,584.96B,-2.12%,8834170,38.87B
5,ASML,ASML Holding N.V.,370.37B,-2.04%,1714717,30.62B
6,ORCL,Oracle Corporation,345.05B,0.01%,10737368,52.51B
7,AMD,"Advanced Micro Devices, Inc.",301.76B,2.14%,95245321,22.68B
8,CRM,"Salesforce, Inc.",285.50B,-2.96%,11790076,34.86B
9,ACN,Accenture plc,237.13B,-0.95%,2247999,64.59B
10,ADBE,Adobe Inc.,222.86B,-13.67%,19508590,19.41B
11,SAP,SAP SE,220.89B,-1.12%,669708,33.99B
12,CSCO,"Cisco Systems, Inc.",201.71B,-1.73%,56758598,57.23B
13,QCOM,QUALCOMM Incorporated,186.60B,-0.74%,16246027,36.29B
14,INTU,Intuit Inc.,181.93B,-3.77%,3144155,15.09B
15,INTC,Intel Corporation,180.62B,-0.26%,65052735,54.23B
16,IBM,International Business Machines Corporation,177.33B,-1.22%,3395146,61.86B
17,AMAT,"Applied Materials, Inc.",165.06B,-1.05%,9800891,26.49B
18,UBER,"Uber Technologies, Inc.",161.24B,-2.03%,17249681,37.28B
19,TXN,Texas Instruments Incorporated,157.00B,0.81%,18667583,17.52B
20,NOW,"ServiceNow, Inc.",153.42B,-4.56%,1953546,8.97B
21,LRCX,Lam Research Corporation,121.36B,-1.68%,1937999,14.32B
22,SONY,Sony Group Corporation,108.73B,0.32%,475166,88.88B
23,MU,"Micron Technology, Inc.",100.93B,1.99%,28022062,16.18B
24,SHOP,Shopify Inc.,99.53B,-1.62%,5196896,7.06B
25,ADI,"Analog Devices, Inc.",96.42B,0.40%,10111417,11.57B
26,PANW,"Palo Alto Networks, Inc.",92.88B,-1.88%,6416041,7.53B
27,KLAC,KLA Corporation,92.49B,-1.22%,1603851,9.67B
28,FI,"Fiserv, Inc.",88.53B,-0.21%,1912219,19.09B
29,ANET,"Arista Networks, Inc.",87.49B,-2.21%,2004031,5.86B
30,SNPS,"Synopsys, Inc.",85.28B,-1.66%,1338891,6.13B
31,CDNS,"Cadence Design Systems, Inc.",81.25B,-2.55%,2586235,4.09B
32,INFY,Infosys Limited,81.09B,-2.19%,13218207,18.21B
33,CRWD,"CrowdStrike Holdings, Inc.",79.48B,-3.94%,4391021,3.06B
34,ARM,Arm Holdings plc,77.65B,-3.05%,8715571,2.96B
35,DELL,Dell Technologies Inc.,76.03B,0.52%,6679566,88.43B
36,WDAY,"Workday, Inc.",71.89B,-1.39%,3164935,7.26B
37,APH,Amphenol Corporation,65.56B,-0.07%,2230059,12.55B
38,SMCI,"Super Micro Computer, Inc.",63.21B,-5.42%,15608210,9.25B
39,NXPI,NXP Semiconductors N.V.,62.51B,-2.54%,5814452,13.28B
40,COIN,"Coinbase Global, Inc.",58.72B,3.72%,16917474,3.11B
41,MRVL,"Marvell Technology, Inc.",57.23B,1.20%,18084842,5.51B
42,MSI,"Motorola Solutions, Inc.",57.18B,0.44%,1230252,9.98B
43,ADSK,"Autodesk, Inc.",55.30B,-1.66%,2500081,5.50B
44,PLTR,Palantir Technologies Inc.,52.45B,-3.85%,53408710,2.23B
45,SNOW,Snowflake Inc.,52.32B,-1.23%,5289761,2.81B
46,FTNT,"Fortinet, Inc.",51.92B,-1.94%,9995200,5.30B
47,TEAM,Atlassian Corporation,51.30B,-4.08%,3278119,3.89B
48,SQ,"Block, Inc.",49.38B,-1.32%,6371214,21.92B
49,MCHP,Microchip Technology Incorporated,48.00B,-0.38%,13784695,8.54B
50,TEL,TE Connectivity Ltd.,43.06B,-0.21%,1444375,16.02B
51,STM,ST Microelectronics,41.67B,-3.57%,3782850,17.29B
52,DDOG,"Datadog, Inc.",40.70B,-1.82%,3962168,2.13B
53,FIS,"Fidelity National Information Services, Inc.",39.85B,1.32%,3903608,9.82B
54,CTSH,Cognizant Technology Solutions Corporation,38.01B,-1.34%,6877642,19.35B
55,TTD,"The Trade Desk, Inc.",37.72B,-1.04%,4352082,1.95B
56,IT,"Gartner, Inc.",36.72B,0.43%,247163,5.91B
57,MPWR,"Monolithic Power Systems, Inc.",33.43B,-0.87%,829551,1.82B
58,CDW,CDW Corporation,33.08B,-0.39%,1514136,21.38B
59,WIT,Wipro Limited,32.74B,0.49%,1917444,11.04B
60,ON,ON Semiconductor Corporation,32.27B,-2.98%,9689873,8.25B
61,NET,"Cloudflare, Inc.",31.81B,-2.77%,2788496,1.30B
62,HUBS,"HubSpot, Inc.",30.73B,-4.59%,318849,2.17B
63,HPQ,HP Inc.,30.13B,-0.62%,6166841,53.11B
64,FICO,Fair Isaac Corporation,30.12B,0.82%,229125,1.55B
65,FTV,Fortive Corporation,29.96B,-0.50%,1189202,6.07B
66,ZS,"Zscaler, Inc.",29.80B,-2.41%,2663167,1.90B
67,GFS,GLOBALFOUNDRIES Inc.,29.08B,-1.29%,2632310,7.39B
68,ANSS,"ANSYS, Inc.",28.53B,-0.73%,636382,2.27B
69,MSTR,MicroStrategy Incorporated,28.45B,6.29%,4356731,496.26M
70,GRMN,Garmin Ltd.,28.20B,-0.87%,1002466,5.23B
71,GLW,Corning Incorporated,27.76B,-0.06%,2503237,12.59B
72,GIB,CGI Inc.,27.17B,-0.64%,54433,-
73,MDB,"MongoDB, Inc.",26.86B,-3.66%,1744777,1.68B
74,SPLK,Splunk Inc.,26.45B,0.25%,13268701,4.22B
75,KEYS,"Keysight Technologies, Inc.",26.18B,-0.77%,1160031,5.34B
76,TEF,"Telefónica, S.A.",24.58B,0.71%,649373,45.17B
77,BR,"Broadridge Financial Solutions, Inc.",23.52B,0.24%,347363,6.32B
78,ASX,"ASE Technology Holding Co., Ltd.",23.48B,-1.55%,5295877,18.94B
79,HPE,Hewlett Packard Enterprise Company,22.30B,-4.56%,21008597,28.08B
80,PTC,PTC Inc.,22.06B,-1.46%,852321,2.18B
81,FLT,"FLEETCOR Technologies, Inc.",21.26B,-0.09%,391770,3.76B
82,NTAP,"NetApp, Inc.",21.12B,0.22%,5983889,6.18B
83,APP,AppLovin Corporation,20.93B,-0.09%,4348824,3.28B
84,ENTG,"Entegris, Inc.",20.69B,-1.13%,2030287,3.52B
85,ZM,"Zoom Video Communications, Inc.",20.69B,-1.93%,5666122,4.53B
86,UMC,United Microelectronics Corporation,20.62B,-2.55%,15371037,8.15B
87,NOK,Nokia Oyj,20.30B,0.82%,15304014,24.73B
88,IOT,Samsara Inc.,19.92B,-3.01%,6248832,937.39M
89,WDC,Western Digital Corporation,19.81B,-1.66%,5326448,11.26B
90,TDY,Teledyne Technologies Incorporated,19.69B,-0.11%,256637,5.64B
91,CHKP,Check Point Software Technologies Ltd.,19.26B,-1.02%,912632,2.41B
92,ERIC,Telefonaktiebolaget LM Ericsson (publ),19.25B,1.06%,12207155,26.13B
93,VRSN,"VeriSign, Inc.",19.23B,-0.17%,824380,1.49B
94,JBL,Jabil Inc.,18.81B,-16.49%,7568799,32.09B
95,STX,Seagate Technology Holdings plc,17.85B,0.29%,5759979,6.47B
96,OKTA,"Okta, Inc.",17.75B,-1.49%,2571386,2.26B
97,TYL,"Tyler Technologies, Inc.",17.52B,-0.47%,456687,1.95B
98,EPAM,"EPAM Systems, Inc.",17.28B,-1.11%,392563,4.69B
99,LDOS,"Leidos Holdings, Inc.",17.25B,0.10%,1715894,15.44B
100,SWKS,"Skyworks Solutions, Inc.",16.85B,-1.01%,9291510,4.64B
101,GDDY,GoDaddy Inc.,16.75B,0.04%,782326,4.25B
102,AKAM,"Akamai Technologies, Inc.",16.51B,-1.56%,2717683,3.81B
103,TER,"Teradyne, Inc.",15.90B,-0.76%,2641682,2.68B
104,PSTG,"Pure Storage, Inc.",15.87B,-1.60%,5821584,2.83B
105,FSLR,"First Solar, Inc.",15.87B,-1.32%,2250652,3.32B
106,HOOD,"Robinhood Markets, Inc.",15.79B,0.55%,16441036,1.87B
107,NTNX,"Nutanix, Inc.",15.51B,-1.08%,2973252,2.02B
108,SSNC,"SS&C Technologies Holdings, Inc.",15.42B,-0.61%,994444,5.50B
109,TRMB,Trimble Inc.,15.31B,-0.42%,2644692,3.80B
110,MANH,"Manhattan Associates, Inc.",15.21B,-1.46%,937562,928.73M
111,NICE,NICE Ltd.,15.12B,-1.13%,284081,2.38B
112,ENPH,"Enphase Energy, Inc.",14.99B,-2.43%,4697385,2.29B
113,LOGI,Logitech International S.A.,14.74B,1.25%,572554,4.25B
114,ZBRA,Zebra Technologies Corporation,14.69B,1.45%,504227,4.58B
115,BSY,"Bentley Systems, Incorporated",14.50B,-0.06%,1297848,1.23B
116,DT,"Dynatrace, Inc.",13.88B,-2.75%,3909796,1.36B
117,GEN,Gen Digital Inc.,13.71B,-1.48%,8324943,3.79B
118,TOST,"Toast, Inc.",13.24B,-2.52%,7242307,3.87B
119,PATH,UiPath Inc.,12.88B,-,13384438,1.31B
120,AZPN,"Aspen Technology, Inc.",12.77B,-2.98%,293597,1.06B
121,GRAB,Grab Holdings Limited,12.51B,-2.16%,125700390,2.36B
122,JKHY,"Jack Henry & Associates, Inc.",12.45B,0.08%,442828,2.16B
123,FLEX,Flex Ltd.,11.89B,-4.57%,9344651,29.39B
124,JNPR,"Juniper Networks, Inc.",11.83B,-0.69%,5727409,5.56B
125,DOCU,"DocuSign, Inc.",11.58B,-1.20%,4625728,2.76B
126,PCOR,"Procore Technologies, Inc.",11.39B,-0.42%,2194471,950.01M
127,FFIV,"F5, Inc.",11.24B,-1.63%,773248,2.81B
128,ZI,ZoomInfo Technologies Inc.,11.17B,0.57%,9728266,1.24B
129,CYBR,CyberArk Software Ltd.,10.86B,-0.07%,562133,751.89M
130,QRVO,"Qorvo, Inc.",10.84B,-1.52%,2084791,3.46B
131,DOX,Amdocs Limited,10.74B,-0.80%,2433131,4.95B
132,PAYC,"Paycom Software, Inc.",10.73B,-0.05%,1032784,1.69B
